JUGADOR,EQUIPO,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,ID
Marvin Bagley III,Washington Wizards,2,0,14.0,4.0,4.5,0.889,0.5,0.5,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.5,1.5,1.5,8.5,1628963
Jalen Duren,Detroit Pistons,6,6,33.8,4.3,6.7,0.65,0.0,0.0,0.0,3.2,3.8,0.826,4.3,6.3,10.7,3.5,0.3,1.7,1.7,4.3,11.8,1631105
Cade Cunningham,Detroit Pistons,6,6,41.3,9.2,21.5,0.426,0.8,4.7,0.179,5.8,7.0,0.833,1.0,7.3,8.3,8.7,1.8,1.3,5.3,3.3,25.0,1630595
Ronald Holland II,Detroit Pistons,5,0,6.8,0.0,1.0,0.0,0.0,0.6,0.0,1.8,2.0,0.9,0.6,0.6,1.2,0.0,0.0,0.2,1.2,1.0,1.8,1641842
Paul Reed,Detroit Pistons,5,0,10.6,1.0,1.6,0.625,0.0,0.0,0.0,0.8,1.2,0.667,1.4,1.6,3.0,0.2,1.0,0.6,1.0,1.6,2.8,1630194
Ausar Thompson,Detroit Pistons,6,6,22.5,4.0,7.0,0.571,0.0,0.3,0.0,3.5,6.0,0.583,1.3,3.8,5.2,1.0,1.2,0.8,1.8,4.2,11.5,1641709
Tobias Harris,Detroit Pistons,6,6,38.8,5.7,11.8,0.479,1.7,3.8,0.435,2.7,2.7,1.0,1.3,6.3,7.7,0.5,1.0,1.2,1.0,2.7,15.7,202699
Isaiah Stewart,Detroit Pistons,1,0,19.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,2.0,0.0,5.0,2.0,1630191
Javonte Green,Detroit Pistons,6,0,6.5,0.7,1.7,0.4,0.2,0.8,0.2,1.0,1.0,1.0,0.2,1.3,1.5,0.3,0.7,0.0,0.3,0.3,2.5,1629750
Duncan Robinson,Detroit Pistons,4,0,14.8,1.3,3.5,0.357,1.0,3.0,0.333,0.8,1.0,0.75,0.0,1.0,1.0,0.3,0.0,0.0,1.5,1.5,4.3,1629130
Pat Connaughton,Charlotte Hornets,3,0,4.7,0.7,2.7,0.25,0.3,1.3,0.25,0.3,0.7,0.5,0.0,0.7,0.7,0.3,0.0,0.0,0.3,0.3,2.0,1626192
