JUGADOR,EQUIPO,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,ID
Cason Wallace,Oklahoma City Thunder,33,3,21.6,2.0,4.8,0.419,0.9,2.7,0.322,0.2,0.3,0.636,0.9,1.3,2.2,1.8,1.2,0.4,0.6,2.0,5.2,1641717
Ajay Mitchell,Oklahoma City Thunder,12,0,6.9,1.3,2.9,0.457,0.4,1.1,0.385,0.3,0.4,0.8,0.3,0.5,0.8,0.8,0.2,0.0,0.5,0.6,3.4,1642349
Kenrich Williams,Oklahoma City Thunder,23,0,7.3,0.8,2.1,0.375,0.2,1.1,0.16,0.1,0.3,0.5,0.4,1.5,1.9,0.4,0.3,0.0,0.3,0.4,1.9,1629026
Isaiah Hartenstein,Oklahoma City Thunder,49,33,23.0,2.9,4.8,0.6,0.0,0.0,0.5,1.0,1.4,0.75,2.8,3.9,6.7,2.3,0.7,0.8,1.0,2.6,6.8,1628392
A.J. Lawson,Toronto Raptors,10,0,2.9,0.4,0.9,0.444,0.2,0.6,0.333,0.1,0.2,0.5,0.1,0.2,0.3,0.0,0.0,0.1,0.0,0.1,1.1,1630639
Brandon Ingram,Toronto Raptors,10,10,38.1,7.5,17.3,0.434,1.3,3.5,0.371,5.6,6.6,0.848,0.5,5.0,5.5,5.0,0.8,0.7,3.2,1.9,21.9,1627742
Scottie Barnes,Toronto Raptors,4,3,33.0,4.5,10.5,0.429,0.5,3.0,0.167,3.3,4.0,0.813,1.8,7.3,9.0,4.3,1.0,0.3,1.3,3.0,12.8,1630567
Immanuel Quickley,Toronto Raptors,13,0,19.4,2.5,7.6,0.333,1.0,3.7,0.271,1.7,2.1,0.815,0.2,1.4,1.5,1.0,0.5,0.0,1.2,1.5,7.8,1630193
RJ Barrett,Toronto Raptors,16,16,33.7,6.1,14.4,0.42,1.8,5.6,0.315,3.9,5.0,0.775,0.6,4.8,5.3,2.9,0.8,0.3,1.7,2.3,17.8,1629628
Garrett Temple,Toronto Raptors,31,4,8.1,0.8,2.3,0.338,0.4,1.6,0.24,0.6,0.8,0.72,0.1,0.7,0.8,0.4,0.3,0.1,0.5,1.0,2.5,202066
Jakob Poeltl,Toronto Raptors,22,7,15.6,2.0,3.5,0.577,0.0,0.1,0.0,0.9,1.4,0.667,2.1,2.5,4.6,0.8,0.3,0.5,0.5,2.5,5.0,1627751
Kyle Anderson,Utah Jazz,68,9,16.3,2.1,4.3,0.495,0.2,0.8,0.255,0.6,0.9,0.741,0.8,2.4,3.2,1.9,0.9,0.3,0.7,1.5,5.1,203937
Svi Mykhailiuk,Utah Jazz,11,0,3.3,0.3,1.3,0.214,0.2,1.0,0.182,0.1,0.1,1.0,0.1,0.5,0.5,0.1,0.1,0.0,0.2,0.4,0.8,1629004
Jusuf Nurkić,Utah Jazz,20,20,27.4,4.4,9.0,0.489,0.2,1.0,0.211,2.5,3.5,0.714,2.9,6.7,9.5,2.7,1.1,1.0,2.0,4.1,11.5,203994
Georges Niang,Utah Jazz,56,0,13.8,1.6,4.1,0.387,1.0,2.9,0.341,0.3,0.3,0.938,0.2,1.2,1.5,0.6,0.1,0.1,0.6,1.7,4.4,1627777
Kevin Love,Utah Jazz,88,80,26.7,4.1,10.3,0.4,2.0,5.0,0.397,2.4,2.8,0.855,1.6,6.8,8.3,1.6,0.6,0.5,1.3,2.1,12.6,201567
Scotty Pippen Jr.,Memphis Grizzlies,4,4,32.0,5.5,14.5,0.379,2.5,7.0,0.357,4.8,4.8,1.0,1.0,4.5,5.5,3.5,1.0,0.3,3.5,4.8,18.3,1630590
Ty Jerome,Memphis Grizzlies,9,1,21.2,4.1,10.2,0.402,1.6,4.0,0.389,1.9,2.2,0.85,0.6,1.9,2.4,3.6,0.6,0.1,1.2,1.8,11.7,1629660
Kentavious Caldwell-Pope,Memphis Grizzlies,67,67,32.4,3.4,8.1,0.418,1.8,5.0,0.358,1.1,1.3,0.843,0.5,2.4,2.8,1.7,1.2,0.4,0.7,2.4,9.7,203484
Vince Williams Jr.,Memphis Grizzlies,3,0,12.3,1.3,2.3,0.571,1.3,2.3,0.571,0.7,0.7,1.0,0.3,2.0,2.3,1.3,0.7,0.3,1.0,1.0,4.7,1631246
Santi Aldama,Memphis Grizzlies,10,1,22.2,3.6,7.7,0.468,1.7,3.9,0.436,0.2,0.2,1.0,0.9,4.1,5.0,1.4,0.3,0.1,0.7,1.2,9.1,1630583
Jaren Jackson Jr.,Memphis Grizzlies,27,27,30.6,5.1,13.0,0.396,1.7,5.0,0.331,3.8,4.6,0.816,2.4,4.1,6.5,1.1,0.9,1.9,1.9,4.1,15.7,1628991
Ja Morant,Memphis Grizzlies,22,22,36.8,9.2,20.7,0.445,2.0,5.8,0.344,5.6,7.5,0.75,1.3,4.9,6.2,8.1,1.4,0.3,3.3,2.1,26.0,1629630
Zach Edey,Memphis Grizzlies,4,4,26.8,2.5,3.8,0.667,0.0,0.0,0.0,1.3,1.8,0.714,2.8,5.0,7.8,1.8,0.0,2.5,1.5,3.0,6.3,1641744
Brandon Clarke,Memphis Grizzlies,14,0,21.8,4.1,6.6,0.613,0.0,0.1,0.0,2.6,3.9,0.667,2.6,3.4,6.0,1.7,0.6,0.8,0.9,1.6,10.7,1629634
Olivier-Maxence Prosper,Memphis Grizzlies,3,0,2.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,1641765
Jock Landale,Memphis Grizzlies,8,1,14.8,2.3,3.6,0.621,0.0,0.1,0.0,1.1,1.8,0.643,1.3,2.3,3.5,0.4,0.4,0.4,0.3,1.9,5.6,1629111
John Konchar,Memphis Grizzlies,18,0,9.7,0.4,1.7,0.267,0.1,0.9,0.118,0.3,0.3,1.0,0.6,1.8,2.4,0.8,0.4,0.3,0.2,1.2,1.3,1629723
Cam Whitmore,Washington Wizards,3,0,1.7,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1641715
CJ McCollum,Washington Wizards,67,57,35.5,7.7,17.8,0.433,2.2,6.1,0.368,2.4,3.1,0.766,0.8,3.6,4.4,3.1,0.9,0.5,2.1,2.4,20.1,203468
Justin Champagnie,Washington Wizards,4,0,2.5,0.3,1.0,0.25,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1630551
Anthony Gill,Washington Wizards,4,0,8.0,0.0,0.8,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.8,1.0,0.0,0.0,0.0,0.8,1.8,0.0,1630264
Khris Middleton,Washington Wizards,80,80,37.6,7.4,16.7,0.441,2.5,6.3,0.39,3.4,3.9,0.866,0.8,5.7,6.5,4.8,1.2,0.2,2.7,3.1,20.6,203114
Marvin Bagley III,Washington Wizards,2,0,13.5,4.0,4.5,0.889,0.5,0.5,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.5,1.5,1.5,8.5,1628963
Jalen Duren,Detroit Pistons,6,6,33.8,4.3,6.7,0.65,0.0,0.0,0.0,3.2,3.8,0.826,4.3,6.3,10.7,3.5,0.3,1.7,1.7,4.3,11.8,1631105
Cade Cunningham,Detroit Pistons,6,6,41.2,9.2,21.5,0.426,0.8,4.7,0.179,5.8,7.0,0.833,1.0,7.3,8.3,8.7,1.8,1.3,5.3,3.3,25.0,1630595
Ronald Holland II,Detroit Pistons,5,0,6.6,0.0,1.0,0.0,0.0,0.6,0.0,1.8,2.0,0.9,0.6,0.6,1.2,0.0,0.0,0.2,1.2,1.0,1.8,1641842
Paul Reed,Detroit Pistons,37,2,10.9,1.4,2.6,0.547,0.1,0.1,0.667,0.4,0.6,0.727,1.8,2.1,3.9,0.5,0.6,0.5,0.6,1.6,3.3,1630194
Caris LeVert,Detroit Pistons,25,10,29.2,5.4,12.4,0.431,1.6,4.6,0.345,2.6,3.7,0.688,1.0,3.4,4.4,3.6,0.8,0.4,1.7,1.6,14.9,1627747
Wendell Moore Jr.,Detroit Pistons,7,0,2.9,0.4,1.0,0.429,0.1,0.6,0.25,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.1,0.0,0.3,0.4,1.0,1631111
Ausar Thompson,Detroit Pistons,6,6,22.3,4.0,7.0,0.571,0.0,0.3,0.0,3.5,6.0,0.583,1.3,3.8,5.2,1.0,1.2,0.8,1.8,4.2,11.5,1641709
Tobias Harris,Detroit Pistons,67,67,37.2,6.4,13.5,0.471,1.4,4.1,0.357,2.0,2.3,0.877,1.3,6.9,8.2,2.7,0.9,0.6,1.3,2.6,16.2,202699
Isaiah Stewart,Detroit Pistons,1,0,18.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,2.0,0.0,5.0,2.0,1630191
Javonte Green,Detroit Pistons,12,1,9.7,0.7,2.4,0.276,0.2,1.1,0.154,0.6,0.7,0.875,0.8,1.3,2.1,0.3,1.1,0.0,0.5,0.9,2.1,1629750
Duncan Robinson,Detroit Pistons,70,26,19.9,2.8,6.4,0.436,2.1,5.3,0.399,0.8,0.9,0.864,0.1,1.8,1.9,1.3,0.4,0.1,0.8,2.1,8.5,1629130
Grant Williams,Charlotte Hornets,61,5,18.8,1.8,4.0,0.461,1.1,2.5,0.433,1.0,1.2,0.8,0.7,1.9,2.6,0.8,0.3,0.5,0.5,2.4,5.7,1629684
Josh Green,Charlotte Hornets,39,0,13.4,1.1,2.9,0.389,0.7,2.1,0.346,0.4,0.7,0.593,0.6,1.2,1.7,0.8,0.6,0.1,0.2,1.2,3.4,1630182
Pat Connaughton,Charlotte Hornets,86,1,19.5,2.2,4.8,0.462,1.2,3.3,0.37,0.4,0.5,0.805,0.7,3.3,4.0,1.1,0.4,0.3,0.5,1.2,6.0,1626192
Mason Plumlee,Charlotte Hornets,71,11,14.8,1.5,3.0,0.486,0.0,0.0,0.0,1.1,1.7,0.605,1.7,3.0,4.8,1.6,0.4,0.6,0.9,2.6,4.0,203486
